,TP,FP,FN
2008,0,0,1
2010,0,0,1
2014,0,0,1
2023,1,0,0
2039,1,1,1
2050,2,0,0
2072,2,0,0
2074,2,0,0
2078,2,0,0
2080,2,0,0
2113,2,0,0
2121,2,0,0
2122,2,0,0
2137,2,0,0
2141,2,0,0
2145,2,0,0
2148,2,0,0
2158,2,0,0
2159,2,0,0
2161,2,0,0
2165,2,0,0
2170,2,0,0
2171,2,0,0
2180,2,0,0
2194,2,0,0
2196,2,0,0
2197,2,0,0
2210,1,0,1
2213,1,0,1
2220,1,0,1
2222,1,0,1
2224,1,0,1
2234,2,0,0
2235,1,1,1
2238,2,0,0
2250,0,2,2
2267,0,2,2
2272,1,1,1
2274,0,1,2
2275,1,1,1
2282,2,0,0
2283,1,1,1
2291,1,1,1
2296,2,0,0
2300,2,0,0
2303,2,0,0
2309,2,0,0
2313,2,0,0
2314,2,0,0
2317,2,0,0
2319,2,0,0
2321,2,0,0
2322,2,0,0
2330,1,0,1
2332,0,1,2
2340,2,0,0
2346,2,0,0
2356,2,0,0
2357,2,0,0
2362,2,0,0
2368,2,0,0
2370,1,1,1
2380,2,0,0
2390,2,0,0
2394,2,0,0
2395,2,0,0
2397,2,0,0
2401,2,0,0
2402,2,0,0
2403,2,0,0
2407,2,0,0
2412,2,0,0
2416,2,0,0
2417,2,0,0
2431,2,0,0
2451,2,0,0
2456,2,0,0
2459,2,0,0
2463,2,0,0
2468,2,0,0
2469,2,0,0
2472,2,0,0
2479,2,0,0
2485,2,0,0
2489,2,0,0
2495,2,0,0
2500,2,0,0
2501,2,0,0
2506,2,0,0
2509,2,0,0
2535,2,0,0
2540,2,0,0
2544,2,0,0
2551,2,0,0
2553,2,0,0
2560,2,0,0
2562,2,0,0
2569,2,0,0
2574,2,0,0
2579,2,0,0
2592,2,0,2
2593,2,0,2
2599,1,1,0
2603,1,0,2
2605,0,1,2
2613,2,0,1
2621,2,0,0
2629,0,0,2
2634,0,0,2
2653,1,0,1
2658,1,0,0
2660,1,0,0
2670,0,0,2
2678,0,1,2
2681,0,0,2
2682,0,0,2
2683,0,0,2
2692,1,1,1
2693,1,1,1
2706,1,0,1
2715,1,0,1
2717,1,0,1
2720,1,0,1
2723,1,0,1
2729,0,0,2
